Ideal Label,Sentence,Base Model Token Value,"Имеет смысл? 0, 0.5, 1",Fine-tuned Model Token Value,"Имеет смысл? 0, 0.5, 1",Лучше?,
комод,кто - то положил ключ на [MASK],место,1,место,1,same,кто-то положил ключ на стол
врага,командир победил [MASK],.,0,врага,1,Finetunned,командир победил **врага**
пешеходной,площадь стала [MASK],.,0,больше,1,Finetunned,площадь стала **пустой**
правительство,[MASK] следило за развитием,Правительство,1,правительство,1,same,**Наблюдатель** следил за развитием
преступника,комиссия установила [MASK],.,1,причину,2,Finetunned,комиссия установила **факты**
головой,стареишина закивал [MASK],.,1,головой,2,Finetunned,старейшина закивал **головой**
перспективным,элемент был [MASK],.,2,[UNK],2,error,элемент был **открыт**
солдатом,человек вступил в перестрелку с [MASK],полицией,2,[UNK],2,Base,человек вступил в перестрелку с **полицией**
лондон,[MASK] ожидали изменения,Мы,1,люди,2,Finetunned,**Все** ожидали изменения
[UNK],дорога напоминала формои [MASK],##д,2,##д,2,error,дорога напоминала формой **змею**
дерево,[MASK] росло,Оно,0.5,число,2,Finetunned,**Дерево** росло
спортсменка,[MASK] набрала баллы за прокат,И,1,команда,2,Finetunned,**Фигуристка** набрала баллы за прокат
гроза,началась [MASK],.,1,война,2,Finetunned,началась **эра**
женщина,[MASK] получила травму,Она,0.5,женщина,2,Finetunned,**Спортсменка** получила травму
отмыванию,кандидат противостоял [MASK],.,2,[UNK],2,error,кандидат противостоял **оппоненту**
согласие,коллегия дала [MASK] минтрансу на возбуждение,добро,1,разрешение,2,Finetunned,коллегия дала **рекомендации** минтрансу на возбуждение
сборная,[MASK] проводила матч,Команда,1,сборная,2,same,**Команда** проводила матч
прыжок,[MASK] стал для фельдшера третьим,Он,1,случай,2,Finetunned,**Этот день** стал для фельдшера третьим
больше,[MASK] людеи пользовались сервисом,А,1,тысячи,2,Finetunned,**Многие** люди пользовались сервисом
расследование,сотрудник вел [MASK] из - за жалобы для выяснения,протокол,1,расследование,2,Finetunned,сотрудник вел **разбирательство** из-за жалобы для выяснения
команда,[MASK] воодушевилась,Я,2,девушка,2,Finetunned,**Толпа** воодушевилась
люди,[MASK] покупали товары у компании,Люди,1,люди,2,same,**Клиенты** покупали товары у компании
автомобиль,[MASK] едет на бензине,Он,0.5,машина,2,Finetunned,**Автомобиль** едет на бензине
человек,[MASK] был в лесу,Он,1,человек,2,Finetunned,**Медведь** был в лесу
критериям,эксперт оценил ущерб по [MASK],фото,1,оценке,2,Base,эксперт оценил ущерб по **документам**
человек,[MASK] достал письмо из конверта,Он,1,человек,2,Finetunned,**Он** достал письмо из конверта
человек,[MASK] проходил по делу подозреваемым,Он,1,мужчина,2,Finetunned,
сиденье,человек находился на [MASK],борту,1,крыше,2,same,**Следствие** проходило по делу подозреваемым
люди,[MASK] узнали о событиях в москве,Мы,1,люди,2,same,человек находился на **даче**
[UNK],[MASK] написал мужчине письмо,Мужчина,2,[UNK],2,error,**Журналисты** узнали о событиях в Москве
стая,[MASK] сидела на поле,Она,1,сборная,2,Finetunned,**Писатель** написал мужчине письмо
компания,[MASK] продала актив,Компания,1,компания,2,same,**Кошка** сидела на поле
ученый,[MASK] определил причину явления,Я,1,ученый,2,Finetunned,Компания продала актив
водопровод,вода проходила с крыши в [MASK] через систему,подвал,1,водопровод,2,Finetunned,Учёный определил причину явления
путь,[MASK] к сердцу лежал через желудок,Путь,1,путь,2,same,вода проходила с крыши в желоб через систему
момент,[MASK] приобретал значение,Авторитет,1,фактор,2,Finetunned,Путь к сердцу лежал через желудок
человека,у [MASK] поехала крыша,меня,2,человека,2,Finetunned,Слово приобретало значение
